Fecha,Hora,Plataforma,Tipo,Likes,Comentarios,Compartidos,Alcance,Impresiones
2024-01-15,10:30,Instagram,Foto,245,12,8,1250,1890
2024-01-16,14:00,Instagram,Video,389,28,15,2100,3200
2024-01-17,09:15,Facebook,Foto,156,9,4,980,1450
2024-01-18,18:45,TikTok,Video,892,45,67,5600,8900
2024-01-19,12:00,Instagram,Carrusel,421,31,19,2400,3800
2024-01-20,16:30,Facebook,Video,234,18,11,1560,2340
2024-01-22,10:00,Instagram,Foto,567,42,28,3200,4900
2024-01-23,13:15,TikTok,Video,1245,89,112,8900,13400
2024-01-24,11:30,Instagram,Video,678,51,34,3800,5700
2024-01-25,15:45,Facebook,Foto,189,14,7,1100,1650
2024-01-26,09:00,Instagram,Foto,445,29,21,2600,3900
2024-01-27,17:30,TikTok,Video,1567,123,156,11200,16800
2024-01-29,10:45,Instagram,Carrusel,523,38,25,2900,4350
2024-01-30,14:30,Facebook,Video,267,21,13,1780,2670
2024-01-31,12:15,Instagram,Foto,398,27,18,2200,3300
2024-02-01,16:00,TikTok,Video,1834,145,189,13400,20100
2024-02-02,10:30,Instagram,Video,612,47,31,3450,5175
2024-02-03,13:45,Facebook,Foto,201,16,9,1230,1845
2024-02-05,11:15,Instagram,Foto,489,35,24,2750,4125
2024-02-06,15:30,TikTok,Video,1423,98,134,10100,15150
2024-02-07,09:30,Instagram,Carrusel,556,41,27,3100,4650
2024-02-08,17:00,Facebook,Video,289,23,14,1890,2835
2024-02-09,12:30,Instagram,Foto,423,32,20,2450,3675
2024-02-10,16:15,TikTok,Video,1678,134,167,12300,18450
2024-02-12,10:15,Instagram,Video,645,49,33,3600,5400
2024-02-13,14:45,Facebook,Foto,223,17,10,1340,2010
2024-02-14,11:45,Instagram,Foto,789,58,42,4200,6300
2024-02-15,15:15,TikTok,Video,2134,167,223,15600,23400
2024-02-16,10:00,Instagram,Carrusel,598,43,29,3300,4950
2024-02-17,13:30,Facebook,Video,312,25,16,2010,3015
